"id","name","reconcile","non_trade","tag_ids","code","account_type"
"l10n_np_100101","Liquidity Transfer","True","","","100101","asset_current"
"l10n_np_100102","Bank Suspense Account","True","","","100102","asset_current"
"l10n_np_100103","Outstanding Receipts","True","","","100103","asset_current"
"l10n_np_100104","Outstanding Payments","True","","","100104","asset_current"
"l10n_np_100105","Cash in Hand","","","","100105","asset_cash"
"l10n_np_100106","Bank Account","","","","100106","asset_cash"
"l10n_np_100201","Accounts Receivable","True","","","100201","asset_receivable"
"l10n_np_100202","Point of Sale Receivable","True","","","100202","asset_receivable"
"l10n_np_100203","Advances to Suppliers","True","True","","100203","asset_receivable"
"l10n_np_100301","Prepaid Expenses","","","","100301","asset_prepayments"
"l10n_np_100401","VAT Receivable (Input VAT)","","","","100401","asset_current"
"l10n_np_100501","Inventory","","","","100501","asset_current"
"l10n_np_100502","Stock Valuation","","","","100502","asset_current"
"l10n_np_100503","Stock Interim (Received)","","","","100503","asset_current"
"l10n_np_100504","Stock Interim (Delivered)","","","","100504","asset_current"
"l10n_np_100601","Property, Plant and Equipment","","","","100601","asset_fixed"
"l10n_np_100602","Accumulated Depreciation","","","","100602","asset_fixed"
"l10n_np_200101","Accounts Payable","True","","","200101","liability_payable"
"l10n_np_200102","Advances from Customers","True","True","","200102","liability_payable"
"l10n_np_200201","Accrued Expenses","","","","200201","liability_current"
"l10n_np_200901","VAT Payable (Output VAT)","","","","200901","liability_current"
"l10n_np_200902","VAT Payable to IRD","","","","200902","liability_current"
"l10n_np_200903","Tax Receivable","","","","200903","asset_current"
"l10n_np_200904","Tax Payable","","","","200904","liability_current"
"l10n_np_201001","Long Term Borrowings","","","","201001","liability_non_current"
"l10n_np_300101","Share Capital","","","","300101","equity"
"l10n_np_300201","Retained Earnings","","","","300201","equity_unaffected"
"l10n_np_400100","Sales Revenue","","","","400100","income"
"l10n_np_400200","Service Revenue","","","","400200","income"
"l10n_np_400301","Foreign Exchange Gain","","","","400301","income_other"
"l10n_np_400302","Cash Difference Gain","","","","400302","income_other"
"l10n_np_400303","Other Income","","","","400303","income_other"
"l10n_np_400304","Early Payment Discount Gain","","","","400304","income_other"
"l10n_np_500200","Cost of Goods Sold","","","","500200","expense_direct_cost"
"l10n_np_500301","Salaries and Wages","","","","500301","expense"
"l10n_np_500302","Rent Expense","","","","500302","expense"
"l10n_np_500303","Utilities Expense","","","","500303","expense"
"l10n_np_500401","Depreciation Expense","","","","500401","expense_depreciation"
"l10n_np_500903","Foreign Exchange Loss","","","","500903","expense"
"l10n_np_500905","Stock Variation","","","","500905","expense_direct_cost"
"l10n_np_500909","Cash Difference Loss","","","","500909","expense"
"l10n_np_501107","Early Payment Discount Loss","","","","501107","expense"
"l10n_np_501200","Other Operating Expenses","","","","501200","expense"
