"id","code_prefix_start","code_prefix_end","name"
"l10n_np_group_1001","100100","100199","Liquidity"
"l10n_np_group_1002","100200","100299","Receivables"
"l10n_np_group_1003","100300","100399","Prepayments"
"l10n_np_group_1004","100400","100499","Tax Receivable"
"l10n_np_group_1005","100500","100599","Inventory"
"l10n_np_group_1006","100600","100699","Fixed Assets"
"l10n_np_group_2001","200100","200199","Payables"
"l10n_np_group_2002","200200","200299","Accrued Liabilities"
"l10n_np_group_2009","200900","200999","Tax Payable"
"l10n_np_group_2010","201000","201099","Long Term Liabilities"
"l10n_np_group_3001","300100","300299","Equity"
"l10n_np_group_4001","400100","400299","Operating Revenue"
"l10n_np_group_4003","400300","400399","Other Income"
"l10n_np_group_5002","500200","500299","Cost of Sales"
"l10n_np_group_5003","500300","500499","Operating Expenses"
"l10n_np_group_5009","500900","501299","Other Expenses"
