"id","sequence","description","name","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","fiscal_position_ids","original_tax_ids"
"VAT_S_NP_13","1","","VAT 13%","13%","13","percent","sale","tax_group_np_13","base","invoice","S_13 Base","","fiscal_position_np_national",""
"","","","","","","","","","tax","invoice","S_13 Tax","l10n_np_200901","",""
"","","","","","","","","","base","refund","S_13 Base","","",""
"","","","","","","","","","tax","refund","S_13 Tax","l10n_np_200901","",""
"VAT_P_NP_13","2","","VAT 13%","13%","13","percent","purchase","tax_group_np_13","base","invoice","P_13 Base","","fiscal_position_np_national",""
"","","","","","","","","","tax","invoice","P_13 Tax","l10n_np_100401","",""
"","","","","","","","","","base","refund","P_13 Base","","",""
"","","","","","","","","","tax","refund","P_13 Tax","l10n_np_100401","",""
"VAT_S_NP_0","3","Zero-rated (export)","VAT 0%","0%","0","percent","sale","tax_group_np_0","base","invoice","S_0 Base","","fiscal_position_np_export","VAT_S_NP_13"
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","S_0 Base","","",""
"","","","","","","","","","tax","refund","","","",""
"VAT_P_NP_0","4","Zero-rated","VAT 0%","0%","0","percent","purchase","tax_group_np_0","base","invoice","P_0 Base","","fiscal_position_np_export","VAT_P_NP_13"
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","P_0 Base","","",""
"","","","","","","","","","tax","refund","","","",""
"VAT_S_NP_EXEMPT","5","VAT exempt supply","VAT Exempt","Exempt","0","percent","sale","tax_group_np_exempt","base","invoice","S_EX Base","","",""
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","S_EX Base","","",""
"","","","","","","","","","tax","refund","","","",""
"VAT_P_NP_EXEMPT","6","VAT exempt purchase","VAT Exempt","Exempt","0","percent","purchase","tax_group_np_exempt","base","invoice","P_EX Base","","",""
"","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","base","refund","P_EX Base","","",""
"","","","","","","","","","tax","refund","","","",""
